;artists;name;acousticness;danceability;energy;instrumentalness;liveness;loudness;mode;speechiness;tempo;valence;track_href
22;Kanye West;Gold Digger;0.0223;0.638;0.699;0.0;0.0917;-5.54;0;0.384;92.939;0.66;https://api.spotify.com/v1/tracks/1PS1QMdUqOal0ai3Gt7sDQ
23;Kanye West;Drive Slow;0.032;0.76;0.595;1.3e-05;0.315;-8.198;1;0.212;87.992;0.476;https://api.spotify.com/v1/tracks/6vB49BJ70zBpDrrAPwdaB8
24;Kanye West;My Way Home;0.342;0.592;0.588;1.29e-06;0.0958;-10.474;1;0.0388;86.813;0.758;https://api.spotify.com/v1/tracks/0TzIHqhAbvYR6qJKrMMFlk
25;Kanye West;Crack Music;0.0117;0.738;0.714;0.000278;0.422;-6.265;0;0.238;168.105;0.58;https://api.spotify.com/v1/tracks/4fRTe59xEeNHT4uyAGsV27
26;Kanye West;Roses;0.286;0.569;0.484;5.39e-05;0.109;-6.95;0;0.128;96.94;0.45;https://api.spotify.com/v1/tracks/2DHNCWZYmVr1Lv08q5b0kB
27;Kanye West;Bring Me Down;0.00735;0.336;0.683;0.0;0.61;-6.82;0;0.151;94.617;0.392;https://api.spotify.com/v1/tracks/25K9cWrxNv991UYiOzBJqR
28;Kanye West;Addiction;0.178;0.55;0.761;0.0;0.227;-8.224;0;0.187;115.085;0.536;https://api.spotify.com/v1/tracks/5VzeI5JM2y9t21JwrWAnkH
29;Kanye West;Diamonds From Sierra Leone - Remix - Album Version (Explicit);0.244;0.658;0.803;0.0;0.201;-3.742;1;0.258;96.808;0.471;https://api.spotify.com/v1/tracks/34KUIBsIUiPV7oCIzSdDAU
30;Kanye West;We Major;0.0113;0.228;0.861;0.0;0.134;-3.599;0;0.125;84.598;0.224;https://api.spotify.com/v1/tracks/46fk9wjYcPm0sgym2b7EEE
31;Kanye West;Hey Mama;0.0572;0.628;0.767;0.0;0.105;-6.884;1;0.217;95.936;0.375;https://api.spotify.com/v1/tracks/46OFHBw45fNi7QNjSetITR
32;Kanye West;Celebration;0.02;0.367;0.791;6.1e-06;0.124;-4.203;1;0.139;79.638;0.374;https://api.spotify.com/v1/tracks/7jAxGkXU58FwNMjqoMahn7
33;Kanye West;Gone;0.0178;0.851;0.682;0.0;0.0741;-6.114;0;0.25;92.732;0.332;https://api.spotify.com/v1/tracks/5RjbFGeWVsCpw8EcE8OrvZ
34;Kanye West;**Bonus Track** Diamonds From Sierra Leone;0.154;0.419;0.864;0.0;0.269;-3.372;1;0.291;96.483;0.512;https://api.spotify.com/v1/tracks/4R5bSS8yoCl2czeWLr61aO
35;Kanye West;Late;0.216;0.3;0.833;3.39e-06;0.295;-5.902;0;0.18;159.468;0.605;https://api.spotify.com/v1/tracks/1mFHMzbaECWFaPfoePoEYl
36;Kanye West;Good Morning;0.0913;0.577;0.646;4.18e-05;0.17;-5.902;1;0.13;169.769;0.575;https://api.spotify.com/v1/tracks/27eO3EGKIUU7yug1eOxUZu
37;Kanye West;Champion;0.00315;0.481;0.505;0.0;0.67;-8.19;0;0.296;98.331;0.765;https://api.spotify.com/v1/tracks/7hNx9Dynz2fRO41L9AEVA8
38;Kanye West;Stronger;0.00728;0.625;0.726;0.0;0.318;-7.731;0;0.155;103.98;0.483;https://api.spotify.com/v1/tracks/6C7RJEIUDqKkJRZVWdkfkH
39;Kanye West;I Wonder;0.13;0.54;0.476;0.000252;0.135;-8.658;1;0.111;191.259;0.116;https://api.spotify.com/v1/tracks/6bXOlIfGIWh7Tyn4oyvLQW
40;Kanye West;Good Life;0.00376;0.435;0.802;0.0;0.467;-6.871;1;0.324;84.267;0.454;https://api.spotify.com/v1/tracks/1fLdeDTrJWNkwOeFyAVLvF
41;Kanye West;Can't Tell Me Nothing;0.0121;0.594;0.614;0.0;0.823;-6.091;0;0.0536;79.968;0.101;https://api.spotify.com/v1/tracks/4ImL3v98u2BLkwnyQDjfRm
42;Kanye West;Barry Bonds;0.0452;0.475;0.613;0.0;0.294;-6.217;1;0.382;166.755;0.718;https://api.spotify.com/v1/tracks/7kXINLuqpicfE1sDCZ3Xwv
43;Kanye West;Drunk and Hot Girls;0.0564;0.662;0.443;1.38e-05;0.15;-7.31;0;0.0307;82.787;0.285;https://api.spotify.com/v1/tracks/1xMT0HHQbQFmGJXDq1ApgX
44;Kanye West;Flashing Lights;0.0315;0.634;0.649;0.0;0.482;-7.505;0;0.0486;90.482;0.509;https://api.spotify.com/v1/tracks/0ua0Go4NN4Td7l0Zre6Ce3
45;Kanye West;Everything I Am;0.461;0.587;0.631;1.54e-06;0.138;-6.811;1;0.308;80.108;0.733;https://api.spotify.com/v1/tracks/1XQhZctQWzkznclbmbE7FQ
46;Kanye West;The Glory;0.044;0.402;0.639;0.0;0.229;-7.087;1;0.301;83.213;0.625;https://api.spotify.com/v1/tracks/39cpcnobaB8FdedVjHjXP2
47;Kanye West;Homecoming;0.323;0.679;0.754;0.0;0.126;-6.965;1;0.186;86.993;0.905;https://api.spotify.com/v1/tracks/2iaCM7WvOknQI1230hA9eK
48;Kanye West;Big Brother;0.199;0.531;0.76;0.0;0.0598;-6.198;0;0.29;77.556;0.292;https://api.spotify.com/v1/tracks/19PtHjgLtiKGsrRoC1f9IF
49;Kanye West;Say You Will;0.59;0.611;0.4;0.174;0.109;-10.197;0;0.0304;172.662;0.313;https://api.spotify.com/v1/tracks/5e5MKPtJuFb8NaeSEyV5gD
50;Kanye West;Welcome To Heartbreak;0.0969;0.667;0.452;0.579;0.111;-10.99;1;0.0341;95.982;0.0734;https://api.spotify.com/v1/tracks/3F18I7LhWKxlf1PytSoTBH
51;Kanye West;Heartless;0.0401;0.789;0.65;0.0;0.249;-6.16;0;0.121;87.983;0.617;https://api.spotify.com/v1/tracks/4EWCNWgDS8707fNSZ1oaA5
52;Kanye West;Amazing;0.218;0.579;0.545;0.0913;0.0642;-8.354;1;0.0418;73.034;0.483;https://api.spotify.com/v1/tracks/0m3Ze0cy8qBHSsV2exAfCw
53;Kanye West;Love Lockdown;0.0539;0.756;0.529;0.392;0.112;-7.659;0;0.0329;119.573;0.123;https://api.spotify.com/v1/tracks/1kxeWHF9PrCVZHvVskv8lg
54;Kanye West;Paranoid;0.106;0.812;0.625;8.03e-05;0.0765;-7.392;1;0.117;115.017;0.545;https://api.spotify.com/v1/tracks/0w2piYWj1F2bzUftzGJgK9
55;Kanye West;RoboCop;0.141;0.7;0.435;0.00468;0.339;-8.039;1;0.104;133.762;0.376;https://api.spotify.com/v1/tracks/02LAK7qT1wya0klSeNO96f
56;Kanye West;Street Lights;0.0321;0.641;0.488;0.0293;0.233;-9.604;1;0.0349;125.497;0.441;https://api.spotify.com/v1/tracks/6j8gTlbhj9KJSeypNcNAS9
57;Kanye West;Bad News;0.0267;0.753;0.454;0.283;0.116;-11.955;1;0.047;106.177;0.173;https://api.spotify.com/v1/tracks/1nNPoG2hygEvrFGlHdhvJ9
58;Kanye West;See You In My Nightmares;0.0735;0.668;0.441;0.0;0.103;-7.949;0;0.0338;124.598;0.158;https://api.spotify.com/v1/tracks/5zuoz1NBnpoHK6g5sbEH8F
59;Kanye West;Coldest Winter;0.174;0.54;0.507;7.39e-06;0.255;-10.315;1;0.0601;133.953;0.473;https://api.spotify.com/v1/tracks/2RRFTLIglxHgAYQzsSLI4Y
60;Kanye West;Pinocchio Story (Freestyle Live From Singapore);0.949;0.289;0.283;0.0;0.948;-13.21;0;0.0483;81.733;0.31;https://api.spotify.com/v1/tracks/6giHsGo1eSYZSXKdNwTC62
61;Kanye West;Dark Fantasy;0.362;0.594;0.585;0.0;0.186;-5.836;0;0.0474;87.939;0.416;https://api.spotify.com/v1/tracks/7yNK27ZTpHew0c55VvIJgm
62;Kanye West;Gorgeous;0.0255;0.6;0.736;0.000139;0.167;-3.533;0;0.0364;91.99;0.122;https://api.spotify.com/v1/tracks/23SZWX2IaDnxmhFsSLvkG2
63;Kanye West;POWER;0.0178;0.538;0.912;0.0;0.689;-4.684;0;0.129;154.042;0.588;https://api.spotify.com/v1/tracks/2gZUPNdnz5Y45eiGxpHGSc
64;Kanye West;All Of The Lights (Interlude);0.927;0.371;0.0973;0.871;0.133;-16.434;0;0.0359;48.34;0.465;https://api.spotify.com/v1/tracks/4D6TpthzUVNTjWQqfBW5Kb
65;Kanye West;All Of The Lights;0.0724;0.558;0.794;2.15e-05;0.19;-3.234;1;0.0533;142.156;0.297;https://api.spotify.com/v1/tracks/22L7bfCiAkJo5xGSQgmiIO
66;Kanye West;Monster;0.00243;0.621;0.683;0.00856;0.525;-5.619;0;0.242;124.283;0.0917;https://api.spotify.com/v1/tracks/1ZHYJ2Wwgxes4m8Ba88PeK
67;Kanye West;So Appalled;0.25;0.461;0.761;0.0;0.681;-5.785;0;0.332;87.318;0.588;https://api.spotify.com/v1/tracks/6K07Ahf6V7CAQn0ikrOztl
68;Kanye West;Devil In A New Dress;0.0162;0.304;0.756;0.0;0.145;-4.857;1;0.135;84.239;0.193;https://api.spotify.com/v1/tracks/1UGD3lW3tDmgZfAVDh6w7r
69;Kanye West;Runaway;0.195;0.552;0.577;0.00257;0.527;-3.724;0;0.0725;86.966;0.107;https://api.spotify.com/v1/tracks/3DK6m7It6Pw857FcQftMds
70;Kanye West;Hell Of A Life;0.00136;0.436;0.817;0.000199;0.106;-5.391;0;0.18;177.991;0.493;https://api.spotify.com/v1/tracks/3rCNmRonlHN1TXQLcG3dSk
71;Kanye West;Lost In The World;0.141;0.588;0.746;0.007;0.479;-5.09;0;0.224;117.011;0.271;https://api.spotify.com/v1/tracks/2Im64pIz6m0EJKdUe6eZ8r
72;Kanye West;Who Will Survive In America;0.253;0.683;0.844;0.000842;0.857;-6.166;1;0.342;115.598;0.588;https://api.spotify.com/v1/tracks/4e5IPJxSGVWPsaxQzdRseN
73;Kanye West;On Sight;0.452;0.613;0.486;0.0;0.279;-3.135;0;0.342;105.111;0.497;https://api.spotify.com/v1/tracks/1gqkRc9WtOpnGIqxf2Hvzr
74;Kanye West;Black Skinhead;0.000954;0.775;0.823;0.0;0.144;-6.091;1;0.271;130.041;0.273;https://api.spotify.com/v1/tracks/722tgOgdIbNe3BEyLnejw4
75;Kanye West;I Am A God;0.0341;0.516;0.538;0.000805;0.163;-7.425;0;0.0726;112.053;0.294;https://api.spotify.com/v1/tracks/0HMCdlOPJkAGlB0MlSWIcO
76;Kanye West;New Slaves;0.141;0.5;0.593;6.21e-06;0.0969;-4.34;1;0.0898;68.456;0.329;https://api.spotify.com/v1/tracks/4cAgkb0ifwn0FSHGXnr4F6
77;Kanye West;Hold My Liquor;0.0147;0.493;0.333;5.66e-06;0.116;-10.313;1;0.0342;106.808;0.0399;https://api.spotify.com/v1/tracks/5nIu0VwPOsjkF61zfevLKh
78;Kanye West;I'm In It;0.13;0.573;0.599;0.0;0.0642;-4.584;1;0.352;120.142;0.45;https://api.spotify.com/v1/tracks/52NmkyHsGsHGb1UX8fTkMg
79;Kanye West;Blood On The Leaves;0.385;0.415;0.681;0.0;0.101;-4.104;0;0.189;171.893;0.364;https://api.spotify.com/v1/tracks/42GcjriRK6srwHkfbkBqVl
80;Kanye West;Guilt Trip;0.151;0.62;0.658;1.11e-05;0.145;-6.054;0;0.0638;138.995;0.589;https://api.spotify.com/v1/tracks/5nPOM0nFRAJ3XI8xCxNAzO
81;Kanye West;Send It Up;0.3;0.698;0.547;6.34e-05;0.328;-5.21;1;0.33;93.003;0.404;https://api.spotify.com/v1/tracks/3RKblQNJs8HPvWBgXmq6nn
82;Kanye West;Bound 2;0.134;0.359;0.662;0.0;0.0907;-2.843;1;0.0466;152.096;0.288;https://api.spotify.com/v1/tracks/3sNVsP50132BTNlImLx70i
83;Kanye West;Ultralight Beam;0.637;0.596;0.393;0.0;0.539;-8.714;1;0.383;107.425;0.36;https://api.spotify.com/v1/tracks/1eQBEelI2NCy7AUTerX0KS
84;Kanye West;Father Stretch My Hands Pt. 1;0.142;0.714;0.566;1.25e-06;0.57;-4.408;1;0.056;113.074;0.449;https://api.spotify.com/v1/tracks/4KW1lqgSr8TKrvBII0Brf8
85;Kanye West;Pt. 2;0.577;0.67;0.724;0.0;0.789;-4.141;1;0.361;145.105;0.285;https://api.spotify.com/v1/tracks/1Wsbr1d2BouNGk2q92mIj7
86;Kanye West;Famous;0.0602;0.474;0.741;0.0;0.115;-3.69;1;0.111;174.1;0.402;https://api.spotify.com/v1/tracks/19a3JfW8BQwqHWUMbcqSx8
87;Kanye West;Feedback;0.593;0.837;0.562;0.0;0.104;-6.038;1;0.492;100.17;0.149;https://api.spotify.com/v1/tracks/49fT6owWuknekShh9utsjv
88;Kanye West;Low Lights;0.726;0.583;0.582;0.0;0.123;-4.745;1;0.115;96.606;0.568;https://api.spotify.com/v1/tracks/36o4taPyOdnOMf01ERmn9a
89;Kanye West;Highlights;0.00573;0.545;0.625;0.0;0.304;-6.234;1;0.162;101.963;0.377;https://api.spotify.com/v1/tracks/4qYLPta5HZ36idWiXtqh7B
90;Kanye West;Freestyle 4;0.0476;0.472;0.562;0.0;0.0901;-8.295;0;0.0965;125.524;0.508;https://api.spotify.com/v1/tracks/6wfzokDylbrJzrJcpnBkcy
91;Kanye West;I Love Kanye;0.581;0.664;0.383;0.0;0.234;-7.807;1;0.764;159.613;0.963;https://api.spotify.com/v1/tracks/5CGS4UovzA7ftCJkLVXQju
92;Kanye West;Waves;0.0363;0.386;0.587;3.71e-06;0.332;-4.454;1;0.0519;96.072;0.0565;https://api.spotify.com/v1/tracks/3nAq2hCr1oWsIU54tS98pL
93;Kanye West;FML;0.313;0.667;0.423;0.0;0.193;-7.146;0;0.0822;125.116;0.156;https://api.spotify.com/v1/tracks/30Zcjs7pgEkmJA1lEbGSWT
94;Kanye West;Real Friends;0.268;0.445;0.746;0.00033;0.138;-6.281;0;0.456;170.612;0.121;https://api.spotify.com/v1/tracks/66Q3fAmSX5eHamgbKa9alP
95;Kanye West;Wolves;0.186;0.539;0.399;0.00255;0.131;-8.016;1;0.045;78.248;0.118;https://api.spotify.com/v1/tracks/432hUIl3ISDeytYW5XBQ5h
96;Kanye West;Frank's Track;0.974;0.0;0.151;0.0;0.104;-7.033;1;0.0;0.0;0.0;https://api.spotify.com/v1/tracks/20r94xA0bsYNLtYSiOE6r3
97;Kanye West;30 Hours;0.032;0.822;0.813;0.0;0.107;-6.736;1;0.291;95.122;0.357;https://api.spotify.com/v1/tracks/2CHmgtK8OCL28WtIK96u4N
98;Kanye West;No More Parties In LA;0.231;0.525;0.924;0.0;0.221;-1.613;1;0.3;93.798;0.697;https://api.spotify.com/v1/tracks/0zLClc0emc6qUeV1p5nc99
99;Kanye West;Facts (Charlie Heat Version);0.0465;0.769;0.648;0.0;0.201;-3.78;0;0.177;142.074;0.401;https://api.spotify.com/v1/tracks/3MnbXlC1N7GdS9M8HzA6no
